timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 19:36:13.910, 0, NVIDIA H200, 13, 0, 7375, 143771, 125.23
2026/05/28 19:36:18.935, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.37
2026/05/28 19:36:23.959, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.10
2026/05/28 19:36:28.984, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.15
2026/05/28 19:36:34.011, 0, NVIDIA H200, 38, 7, 7375, 143771, 187.16
2026/05/28 19:36:39.039, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.06
2026/05/28 19:36:44.067, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.17
2026/05/28 19:36:49.094, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.96
2026/05/28 19:36:54.123, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.04
2026/05/28 19:36:59.149, 0, NVIDIA H200, 47, 9, 7375, 143771, 226.70
2026/05/28 19:37:04.176, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.95
2026/05/28 19:37:09.199, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.10
2026/05/28 19:37:14.223, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.85
2026/05/28 19:37:19.249, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.92
2026/05/28 19:37:24.276, 0, NVIDIA H200, 47, 10, 7375, 143771, 221.07
2026/05/28 19:37:29.302, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.85
2026/05/28 19:37:34.328, 0, NVIDIA H200, 12, 0, 7375, 143771, 124.92
2026/05/28 19:37:39.352, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.60
2026/05/28 19:37:44.377, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.52
2026/05/28 19:37:49.403, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.51
2026/05/28 19:37:54.426, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.51
2026/05/28 19:37:59.452, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.45
2026/05/28 19:38:04.477, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.43
2026/05/28 19:38:09.504, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.46
2026/05/28 19:38:14.530, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.42
2026/05/28 19:38:19.558, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.36
2026/05/28 19:38:24.583, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.39
2026/05/28 19:38:29.607, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.37
2026/05/28 19:38:34.633, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.35
2026/05/28 19:38:39.656, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.34
2026/05/28 19:38:44.683, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.38
2026/05/28 19:38:49.710, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.29
2026/05/28 19:38:54.735, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.31
2026/05/28 19:38:59.763, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.37
2026/05/28 19:39:04.790, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.29
2026/05/28 19:39:09.818, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.34
2026/05/28 19:39:14.843, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.34
2026/05/28 19:39:19.870, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.28
2026/05/28 19:39:24.896, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.28
2026/05/28 19:39:29.924, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.28
2026/05/28 19:39:34.952, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.28
2026/05/28 19:39:39.978, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.25
2026/05/28 19:39:45.003, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.22
2026/05/28 19:39:50.028, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.18
2026/05/28 19:39:55.053, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.20
2026/05/28 19:40:00.081, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.24
2026/05/28 19:40:05.107, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.25
