timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/31 01:24:18.996, 0, 0, 0, 2753, 143771, 131.31
2026/05/31 01:24:29.021, 0, 0, 0, 2753, 143771, 138.14
2026/05/31 01:24:39.048, 0, 0, 0, 2753, 143771, 189.16
2026/05/31 01:24:49.075, 0, 0, 0, 2753, 143771, 131.38
2026/05/31 01:24:59.101, 0, 0, 0, 2753, 143771, 131.25
2026/05/31 01:25:09.126, 0, 0, 0, 2753, 143771, 245.68
2026/05/31 01:25:19.149, 0, 0, 0, 2753, 143771, 131.43
2026/05/31 01:25:29.175, 0, 0, 0, 2753, 143771, 131.26
2026/05/31 01:25:39.201, 0, 39, 8, 2753, 143771, 232.00
2026/05/31 01:25:49.229, 0, 0, 0, 2753, 143771, 131.56
2026/05/31 01:25:59.257, 0, 0, 0, 2753, 143771, 131.33
2026/05/31 01:26:09.281, 0, 39, 8, 2753, 143771, 170.22
2026/05/31 01:26:19.306, 0, 0, 0, 2753, 143771, 135.14
2026/05/31 01:26:29.333, 0, 0, 0, 2753, 143771, 131.33
2026/05/31 01:26:39.358, 0, 0, 0, 2753, 143771, 131.27
2026/05/31 01:26:49.385, 0, 0, 0, 2753, 143771, 169.68
2026/05/31 01:26:59.415, 0, 0, 0, 2753, 143771, 131.30
2026/05/31 01:27:09.440, 0, 0, 0, 2753, 143771, 131.21
2026/05/31 01:27:19.466, 0, 0, 0, 2753, 143771, 238.30
2026/05/31 01:27:29.493, 0, 0, 0, 2753, 143771, 131.41
2026/05/31 01:27:39.518, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:27:49.544, 0, 24, 5, 2753, 143771, 247.26
2026/05/31 01:27:59.569, 0, 0, 0, 2753, 143771, 131.60
2026/05/31 01:28:09.595, 0, 0, 0, 2753, 143771, 131.32
2026/05/31 01:28:19.621, 0, 1, 0, 2753, 143771, 141.53
2026/05/31 01:28:29.648, 0, 0, 0, 2753, 143771, 193.64
2026/05/31 01:28:39.674, 0, 0, 0, 2753, 143771, 131.40
2026/05/31 01:28:49.698, 0, 0, 0, 2753, 143771, 131.28
2026/05/31 01:28:59.723, 0, 0, 0, 2753, 143771, 247.87
2026/05/31 01:29:09.749, 0, 0, 0, 2753, 143771, 131.47
2026/05/31 01:29:19.775, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:29:29.799, 0, 43, 8, 2753, 143771, 212.26
2026/05/31 01:29:39.825, 0, 0, 0, 2753, 143771, 131.59
2026/05/31 01:29:49.852, 0, 0, 0, 2753, 143771, 131.35
2026/05/31 01:29:59.879, 0, 0, 0, 2753, 143771, 134.34
2026/05/31 01:30:09.903, 0, 0, 0, 2753, 143771, 192.49
2026/05/31 01:30:19.929, 0, 0, 0, 2753, 143771, 131.35
2026/05/31 01:30:29.955, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:30:39.981, 0, 1, 0, 2753, 143771, 134.88
2026/05/31 01:30:50.006, 0, 0, 0, 2753, 143771, 181.79
2026/05/31 01:31:00.033, 0, 0, 0, 2753, 143771, 131.37
2026/05/31 01:31:10.059, 0, 0, 0, 2753, 143771, 131.21
2026/05/31 01:31:20.086, 0, 0, 0, 2753, 143771, 226.53
2026/05/31 01:31:30.110, 0, 0, 0, 2753, 143771, 131.44
2026/05/31 01:31:40.137, 0, 0, 0, 2753, 143771, 131.30
2026/05/31 01:31:50.163, 0, 0, 0, 2753, 143771, 250.16
2026/05/31 01:32:00.190, 0, 0, 0, 2753, 143771, 131.48
2026/05/31 01:32:10.216, 0, 0, 0, 2753, 143771, 131.35
2026/05/31 01:32:20.241, 0, 17, 4, 2753, 143771, 249.54
2026/05/31 01:32:30.266, 0, 0, 0, 2753, 143771, 131.47
2026/05/31 01:32:40.290, 0, 0, 0, 2753, 143771, 131.27
2026/05/31 01:32:50.315, 0, 48, 10, 2753, 143771, 247.88
2026/05/31 01:33:00.340, 0, 0, 0, 2753, 143771, 131.48
2026/05/31 01:33:10.367, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:33:20.394, 0, 46, 9, 2753, 143771, 231.08
2026/05/31 01:33:30.418, 0, 0, 0, 2753, 143771, 131.52
2026/05/31 01:33:40.443, 0, 0, 0, 2753, 143771, 131.31
2026/05/31 01:33:50.468, 0, 27, 5, 2753, 143771, 159.22
2026/05/31 01:34:00.493, 0, 0, 0, 2753, 143771, 131.83
2026/05/31 01:34:10.518, 0, 0, 0, 2753, 143771, 131.30
2026/05/31 01:34:20.544, 0, 0, 0, 2753, 143771, 143.66
2026/05/31 01:34:30.572, 0, 0, 0, 2753, 143771, 187.79
2026/05/31 01:34:40.599, 0, 0, 0, 2753, 143771, 131.33
2026/05/31 01:34:50.626, 0, 0, 0, 2753, 143771, 131.24
2026/05/31 01:35:00.653, 0, 0, 0, 2753, 143771, 201.38
2026/05/31 01:35:10.677, 0, 0, 0, 2753, 143771, 131.43
2026/05/31 01:35:20.703, 0, 0, 0, 2753, 143771, 131.30
